time,molecule_Strain1,molecule_Strain2,molecule_Strain3,molecule_Strain4,molecule_Strain5
0.0,10,10,10,10,10
1.0,10,10,10,10,10
2.0,10,10,10,10,10
3.0,10,10,10,10,10
4.0,10,10,10,10,10
5.0,10,11,10,11,10
6.0,10,11,10,12,11
7.0,10,11,10,12,11
8.0,10,12,12,14,11
9.0,10,12,13,15,12
10.0,10,12,13,16,13
11.0,14,14,14,17,14
12.0,15,15,14,17,15
13.0,17,16,16,17,15
14.0,17,16,17,17,16
15.0,17,17,18,18,16
16.0,18,17,18,18,16
17.0,18,17,18,19,16
18.0,18,17,19,19,17
19.0,18,18,19,19,18
20.0,18,19,19,20,19
21.0,18,19,19,22,21
22.0,19,19,19,23,21
23.0,19,20,19,23,21
24.0,20,22,22,24,21
25.0,20,22,22,25,21
26.0,20,22,23,25,21
27.0,20,22,23,25,21
28.0,22,22,23,28,22
29.0,23,23,26,28,25
30.0,24,25,28,31,28
31.0,26,28,28,34,29
32.0,30,29,29,34,29
33.0,34,31,32,34,31
34.0,34,32,32,35,31
35.0,34,34,34,36,31
36.0,35,35,34,37,33
37.0,36,36,36,37,33
38.0,36,36,37,37,35
39.0,37,36,37,41,36
40.0,37,38,38,43,36
41.0,37,38,39,43,38
42.0,37,40,39,44,39
43.0,38,40,40,46,41
44.0,38,41,43,46,42
45.0,38,42,43,46,42
46.0,39,43,46,49,42
47.0,40,45,49,51,43
48.0,41,45,50,54,47
49.0,44,47,51,59,50
50.0,47,51,54,60,53
51.0,53,56,57,61,55
52.0,60,59,59,65,58
53.0,62,63,62,68,60
54.0,63,66,64,69,62
55.0,66,66,65,71,65
56.0,66,66,68,72,65
57.0,69,66,69,73,68
58.0,71,68,72,76,68
59.0,73,70,75,79,71
60.0,75,75,77,85,71
61.0,75,76,77,88,75
62.0,76,76,81,89,77
63.0,76,79,82,90,79
64.0,77,82,87,95,80
65.0,77,84,88,99,83
66.0,80,88,88,103,86
67.0,87,89,93,108,88
68.0,88,93,101,109,93
69.0,92,96,105,113,101
70.0,97,103,109,115,105
71.0,104,110,110,121,111
72.0,111,117,114,125,116
73.0,117,120,117,131,119
74.0,123,121,124,137,125
75.0,130,126,128,143,128
76.0,131,128,129,146,130
77.0,137,133,132,150,133
78.0,140,138,140,157,135
79.0,143,142,150,163,143
80.0,149,146,157,168,145
81.0,151,148,164,174,147
82.0,153,151,168,180,152
83.0,155,157,171,186,156
84.0,157,164,175,192,162
85.0,162,170,180,197,167
86.0,171,175,186,204,175
87.0,177,182,189,208,182
88.0,184,189,200,220,190
89.0,191,200,201,228,199
90.0,200,208,210,234,205
91.0,211,221,220,241,218
92.0,222,230,229,248,229
93.0,228,238,237,256,235
