time,molecule_Strain1,molecule_Strain2,molecule_Strain3,molecule_Strain4,molecule_Strain5
0.0,10,10,10,10,10
1.0,10,10,10,10,10
2.0,10,10,10,10,10
3.0,10,10,10,10,10
4.0,10,10,10,11,10
5.0,10,11,11,11,10
6.0,10,11,11,11,11
7.0,10,11,12,14,12
8.0,11,12,12,15,12
9.0,11,12,13,15,13
10.0,12,12,13,17,14
11.0,14,14,14,18,14
12.0,15,15,14,18,16
13.0,16,17,15,19,16
14.0,16,17,15,19,17
15.0,16,17,16,19,17
16.0,18,17,18,20,17
17.0,18,17,18,21,17
18.0,18,17,20,21,17
19.0,19,18,21,22,19
20.0,20,20,21,22,20
21.0,21,20,22,23,21
22.0,22,20,22,25,21
23.0,22,21,23,28,22
24.0,22,22,24,29,23
25.0,23,22,24,31,24
26.0,24,23,24,32,25
27.0,24,24,24,32,27
28.0,25,25,27,33,28
29.0,26,27,30,37,30
30.0,27,28,31,39,31
31.0,30,31,31,39,33
32.0,32,32,32,40,34
33.0,35,35,32,42,36
34.0,36,36,34,44,37
35.0,37,37,38,47,38
36.0,40,37,40,49,39
37.0,40,37,43,51,40
38.0,41,38,45,55,42
39.0,41,38,47,58,44
40.0,42,42,48,60,44
41.0,42,42,48,63,50
42.0,44,42,51,66,50
43.0,49,45,55,72,53
44.0,49,46,56,73,56
45.0,50,48,58,75,58
46.0,53,48,62,76,59
47.0,57,52,63,79,64
48.0,62,56,65,85,67
49.0,65,60,69,92,67
50.0,66,63,71,95,70
51.0,68,64,76,101,76
52.0,71,69,79,107,78
53.0,75,71,80,115,81
54.0,80,75,83,124,85
55.0,81,78,85,126,90
56.0,87,80,91,134,95
57.0,88,81,94,139,103
58.0,89,84,101,144,105
59.0,92,86,107,150,108
60.0,95,90,115,157,118
61.0,98,93,122,164,119
62.0,99,95,124,172,125
63.0,105,100,131,183,128
64.0,113,105,133,197,136
65.0,123,114,138,204,141
66.0,132,121,145,214,150
67.0,135,126,154,230,153
68.0,142,133,162,238,162
69.0,151,140,174,251,168
70.0,158,147,183,264,176
71.0,161,155,191,273,188
72.0,168,159,203,284,193
73.0,172,166,217,294,201
74.0,175,172,227,306,214
75.0,183,178,236,323,221
76.0,191,183,249,340,229
77.0,196,190,263,362,240
78.0,204,199,275,374,249
79.0,217,213,284,397,258
80.0,231,224,296,416,273
81.0,244,237,311,438,291
82.0,251,247,328,457,302
83.0,270,256,348,482,317
84.0,276,272,365,513,334
85.0,287,285,384,532,352
86.0,300,297,408,559,370
87.0,316,314,434,586,385
88.0,329,328,452,621,401
89.0,347,344,476,655,424
90.0,357,358,503,681,442
91.0,367,378,528,716,462
92.0,380,396,559,752,483
93.0,394,409,589,791,508
94.0,411,431,627,823,541
95.0,436,457,660,857,567
96.0,454,478,702,896,592
97.0,475,505,729,942,618
98.0,499,526,778,985,655
99.0,518,548,826,1033,686
100.0,540,569,857,1084,720
101.0,566,598,913,1138,762
102.0,592,623,956,1199,799
103.0,615,646,1013,1259,837
104.0,642,678,1072,1333,870
105.0,670,714,1121,1395,904
106.0,695,751,1190,1483,948
107.0,736,788,1262,1557,993
108.0,774,829,1318,1630,1051
109.0,810,869,1389,1704,1108
110.0,844,920,1461,1776,1169
111.0,875,966,1530,1861,1216
112.0,914,1002,1636,1954,1287
113.0,961,1047,1709,2041,1354
114.0,1004,1092,1799,2128,1413
115.0,1040,1142,1908,2237,1488
116.0,1092,1210,2000,2331,1553
117.0,1133,1263,2118,2443,1624
118.0,1181,1326,2238,2593,1712
119.0,1233,1393,2361,2725,1792
120.0,1302,1465,2471,2855,1896
121.0,1363,1530,2597,3010,1985
122.0,1426,1592,2740,3135,2089
123.0,1495,1664,2910,3299,2191
124.0,1582,1771,3063,3460,2316
125.0,1646,1860,3236,3636,2422
126.0,1718,1925,3410,3795,2556
127.0,1782,2029,3595,3973,2688
