time,molecule_Strain1,molecule_Strain2,molecule_Strain3,molecule_Strain4,molecule_Strain5
0.0,10,10,10,10,10
1.0,10,10,10,10,10
2.0,10,10,10,10,10
3.0,10,10,10,10,10
4.0,10,10,10,10,10
5.0,10,11,10,11,10
6.0,10,11,10,12,11
7.0,10,11,10,12,11
8.0,10,12,12,14,11
9.0,10,12,13,15,12
10.0,10,12,13,16,13
11.0,14,14,14,17,14
12.0,15,15,14,17,15
13.0,17,16,16,17,15
14.0,17,16,17,17,16
15.0,17,17,18,18,16
16.0,18,17,18,18,16
17.0,18,17,18,19,16
18.0,18,17,19,19,17
19.0,18,18,19,19,18
20.0,18,19,19,20,19
21.0,18,19,19,22,21
22.0,19,19,19,23,21
23.0,19,20,19,23,21
24.0,20,22,22,24,21
25.0,20,22,22,25,21
26.0,20,22,23,25,21
27.0,20,22,23,25,21
28.0,22,22,23,28,22
29.0,23,23,26,28,25
30.0,24,25,28,31,28
31.0,26,28,28,34,29
32.0,30,29,29,34,29
33.0,34,31,32,34,31
34.0,34,32,32,35,31
35.0,34,34,34,36,31
36.0,35,35,34,37,33
37.0,36,36,36,37,33
38.0,36,36,37,37,35
39.0,37,36,37,41,36
40.0,37,38,38,43,36
41.0,37,38,39,43,38
42.0,37,40,39,44,39
43.0,38,40,40,46,41
44.0,38,41,43,46,42
45.0,38,42,43,46,42
46.0,39,43,46,49,42
47.0,40,45,49,51,43
48.0,41,45,50,54,47
49.0,44,47,51,59,50
50.0,47,51,54,60,53
51.0,53,56,57,61,55
52.0,60,59,59,65,58
53.0,62,63,62,68,60
54.0,63,66,64,69,62
55.0,66,66,65,71,65
56.0,66,66,68,72,65
57.0,69,66,69,73,68
58.0,71,68,72,76,68
59.0,73,70,75,79,71
60.0,75,75,77,85,71
61.0,75,76,77,88,75
62.0,76,76,81,89,77
63.0,76,79,82,90,79
64.0,77,82,87,95,80
65.0,77,84,88,99,83
66.0,80,88,88,103,86
67.0,87,89,93,108,88
68.0,88,93,101,109,93
69.0,92,96,105,113,101
70.0,97,103,109,115,105
71.0,104,110,110,121,111
72.0,111,117,114,125,116
73.0,117,120,117,131,119
74.0,123,121,124,137,125
75.0,130,126,128,143,128
76.0,131,128,129,146,130
77.0,137,133,132,150,133
78.0,140,138,140,157,135
79.0,143,142,150,163,143
80.0,149,146,157,168,145
81.0,151,148,164,174,147
82.0,153,151,168,180,152
83.0,155,157,171,186,156
84.0,157,164,175,192,162
85.0,162,170,180,197,167
86.0,171,175,186,204,175
87.0,177,182,189,208,182
88.0,184,189,200,220,190
89.0,191,200,201,228,199
90.0,200,208,210,234,205
91.0,211,221,220,241,218
92.0,222,230,229,248,229
93.0,228,238,237,256,235
94.0,238,243,244,266,245
95.0,252,247,248,276,250
96.0,262,257,256,287,255
97.0,271,262,272,300,265
98.0,277,271,287,311,271
99.0,284,284,296,324,279
100.0,290,290,306,333,292
101.0,296,301,318,347,300
102.0,301,309,332,361,306
103.0,312,320,340,369,319
104.0,317,330,353,379,327
105.0,330,342,363,396,340
106.0,343,355,372,409,351
107.0,358,372,381,418,370
108.0,370,385,394,436,383
109.0,380,399,405,449,396
110.0,400,416,417,465,413
111.0,425,430,432,484,431
112.0,443,454,450,500,455
113.0,457,466,466,520,475
114.0,477,488,485,542,487
115.0,491,501,507,567,502
116.0,511,514,526,582,516
117.0,528,529,544,600,536
118.0,552,543,570,625,548
119.0,568,556,596,647,558
120.0,580,577,609,667,587
121.0,587,602,634,692,604
122.0,599,625,656,713,616
123.0,627,648,678,736,630
124.0,647,677,696,757,654
125.0,669,689,713,789,681
126.0,701,713,746,812,709
127.0,719,742,766,842,742
128.0,757,771,785,873,777
129.0,787,800,819,895,809
130.0,816,825,842,924,832
131.0,847,861,869,957,862
132.0,876,886,899,998,890
133.0,907,916,924,1029,924
134.0,939,953,964,1077,969
135.0,971,998,1007,1119,1001
136.0,1014,1036,1052,1158,1023
137.0,1046,1062,1091,1200,1055
138.0,1093,1094,1140,1251,1092
139.0,1131,1130,1185,1300,1123
140.0,1157,1174,1225,1336,1163
141.0,1187,1205,1261,1375,1193
142.0,1218,1243,1299,1417,1228
143.0,1254,1285,1344,1458,1269
144.0,1295,1340,1378,1524,1318
145.0,1344,1380,1430,1579,1357
146.0,1404,1428,1481,1646,1420
147.0,1459,1491,1536,1685,1480
148.0,1501,1540,1579,1763,1544
149.0,1559,1599,1634,1821,1608
150.0,1624,1657,1702,1882,1675
151.0,1704,1712,1762,1937,1741
152.0,1759,1782,1824,1997,1795
153.0,1817,1844,1892,2066,1850
154.0,1872,1911,1960,2143,1912
155.0,1941,1974,2035,2214,1983
156.0,2010,2031,2106,2303,2048
157.0,2086,2114,2182,2380,2100
158.0,2153,2200,2269,2461,2182
159.0,2236,2266,2337,2572,2240
160.0,2303,2341,2418,2651,2306
161.0,2372,2416,2495,2754,2387
162.0,2445,2492,2573,2841,2465
163.0,2514,2590,2671,2927,2546
164.0,2606,2665,2763,3024,2644
165.0,2704,2752,2862,3142,2741
166.0,2802,2859,2955,3269,2863
167.0,2916,2966,3066,3395,2982
168.0,3028,3065,3162,3502,3076
169.0,3129,3190,3277,3626,3197
170.0,3253,3317,3396,3756,3319
171.0,3371,3427,3527,3879,3439
172.0,3497,3553,3652,4000,3569
173.0,3597,3671,3788,4140,3688
174.0,3729,3806,3906,4283,3798
175.0,3848,3952,4041,4452,3953
176.0,3998,4088,4181,4603,4093
177.0,4147,4232,4331,4757,4232
178.0,4286,4369,4481,4928,4372
179.0,4449,4531,4650,5112,4494
180.0,4101,4256,4336,4772,4145
181.0,4230,4393,4491,4943,4278
182.0,4393,4537,4632,5102,4453
183.0,4541,4694,4778,5283,4593
184.0,4690,4854,4948,5457,4753
185.0,4876,5027,5131,5669,4905
