time,molecule_Strain1,molecule_Strain2,molecule_Strain3,molecule_Strain4,molecule_Strain5
0.0,10,10,10,10,10
1.0,10,10,10,10,10
2.0,10,10,10,10,10
3.0,10,10,10,10,10
4.0,10,10,10,10,10
5.0,10,11,10,11,10
6.0,10,12,10,11,10
7.0,10,12,10,13,11
8.0,10,12,11,15,11
9.0,10,12,12,16,12
10.0,12,13,12,17,12
11.0,12,14,13,17,13
12.0,14,15,13,17,14
13.0,15,16,14,17,14
14.0,15,16,14,17,16
15.0,15,19,16,17,16
16.0,16,19,16,18,17
17.0,16,19,16,18,18
18.0,16,19,17,18,18
19.0,16,21,17,19,20
20.0,16,21,18,20,20
21.0,17,21,18,20,21
22.0,17,23,18,20,21
23.0,20,24,18,24,22
24.0,21,24,20,25,22
25.0,22,25,20,25,22
26.0,22,25,20,26,22
27.0,22,25,20,27,23
28.0,24,27,21,28,24
29.0,24,28,22,29,25
30.0,24,28,23,31,26
31.0,24,33,26,32,29
32.0,25,35,27,33,31
33.0,28,38,27,34,33
34.0,29,39,28,35,33
35.0,30,41,28,36,33
36.0,31,41,30,38,36
37.0,32,43,31,38,36
38.0,35,45,33,38,38
39.0,35,46,33,40,39
40.0,36,48,33,41,39
41.0,36,49,33,42,39
42.0,38,51,33,45,42
43.0,38,54,33,47,42
44.0,39,55,34,47,44
45.0,39,57,35,47,46
46.0,40,61,35,50,47
47.0,41,64,36,53,52
48.0,44,65,39,56,53
49.0,46,70,39,57,55
50.0,49,75,41,60,59
51.0,50,78,43,62,62
52.0,55,83,48,64,65
53.0,59,85,49,66,67
54.0,59,87,51,69,71
55.0,60,93,52,71,75
56.0,65,95,52,74,77
57.0,67,103,52,74,84
58.0,69,112,52,77,87
59.0,69,115,52,79,90
60.0,72,117,54,86,93
61.0,74,125,53,86,93
62.0,79,129,56,89,96
63.0,79,135,55,93,100
64.0,82,141,57,94,105
65.0,91,147,58,95,112
66.0,91,157,60,100,114
67.0,93,164,62,105,117
68.0,97,175,66,109,124
69.0,102,182,67,110,128
70.0,108,187,69,114,144
71.0,112,195,73,120,154
72.0,113,202,74,126,159
73.0,117,216,74,132,164
74.0,120,225,73,138,170
75.0,127,243,76,145,173
76.0,132,263,77,152,181
77.0,137,278,75,154,190
78.0,143,289,78,159,198
79.0,148,304,80,167,203
80.0,154,317,80,174,209
81.0,156,329,78,179,215
82.0,162,340,80,185,233
83.0,166,352,79,192,241
84.0,171,369,78,200,253
85.0,181,391,80,206,262
86.0,194,417,82,216,272
87.0,204,434,80,227,277
88.0,214,456,80,236,291
89.0,217,478,76,247,306
90.0,222,502,76,262,317
91.0,232,527,79,270,335
92.0,237,561,80,283,346
93.0,255,587,79,297,361
94.0,257,618,82,306,381
95.0,267,658,81,316,392
96.0,277,696,83,327,415
97.0,288,725,84,333,440
98.0,297,758,88,347,450
99.0,316,794,90,366,476
100.0,303,764,80,348,428
100.1,305,766,80,351,431
100.2,306,771,80,353,432
